NR,Pr,Date,Diff
213,202499409,12/18/2019,23
214,202499460,12/19/2019,7
215,15224968,12/19/2019,6
216,15225667,12/20/2019,8
217,202496985,12/20/2019,8
218,202503573,12/23/2019,5
219,202499824,12/23/2019,7
220,202503744,12/23/2019,8
221,202504087,12/23/2019,8
222,202504280,12/23/2019,8
223,202503599,12/23/2019,8
224,202503155,12/23/2019,8
225,202495920,12/23/2019,34
226,202503551,12/23/2019,37
227,15226304,12/30/2019,4
228,202496044,1/3/2020,6
229,202459944,1/7/2020,1
230,202507207,1/7/2020,1
231,15236533,1/7/2020,10
232,15237972,1/7/2020,12
233,202503321,1/8/2020,1
234,15227246,1/8/2020,2
235,15239381,1/8/2020,4
236,15239478,1/8/2020,4
237,15239479,1/8/2020,4
238,15240594,1/8/2020,4
239,202510074,1/8/2020,10
240,202501822,1/9/2020,1
241,15239480,1/9/2020,3
242,15239482,1/9/2020,3
243,15239484,1/9/2020,3
244,14857175,1/9/2020,5
245,202504356,1/9/2020,7
246,202504354,1/10/2020,1
247,202504491,1/10/2020,1
248,14664021,1/10/2020,1
249,15242702,1/10/2020,8
250,202505275,1/10/2020,8
251,15242646,1/10/2020,2
252,15247239,1/14/2020,1
253,202513588,1/14/2020,1
254,202514464,1/14/2020,1
255,15247188,1/14/2020,2
256,15246389,1/14/2020,5
257,15246393,1/14/2020,5
258,202513468,1/14/2020,7
259,202514856,1/14/2020,7
260,15227891,1/14/2020,7
261,15227896,1/14/2020,7
262,202503155,1/14/2020,17
263,15213507,1/15/2020,1
264,15115861,1/15/2020,1
265,15248753,1/15/2020,1
266,202515358,1/15/2020,1
267,15246188,1/15/2020,2
268,15248509,1/15/2020,2
269,202515108,1/15/2020,2
270,202514767,1/15/2020,2
271,202496866,1/15/2020,4
272,202502775,1/15/2020,20
273,202515401,1/16/2020,1
274,202515888,1/16/2020,1
275,202516487,1/16/2020,1
276,15249742,1/16/2020,2
277,15250528,1/16/2020,3
278,202512397,1/16/2020,1
279,15250630,1/16/2020,7
280,202513674,1/20/2020,1
281,202511379,1/20/2020,2
282,202513672,1/20/2020,4
283,15215617,1/20/2020,6
284,202513673,1/20/2020,6
285,202519676,1/20/2020,8
286,202512943,1/20/2020,2
287,202512845,1/20/2020,2
288,202512901,1/20/2020,2
289,202512971,1/20/2020,2
290,202512921,1/20/2020,2
291,202512967,1/20/2020,2
292,15253174,1/20/2020,7
293,15253209,1/20/2020,7
294,15143189,1/21/2020,1
295,15139817,1/21/2020,2
296,202520899,1/21/2020,7
297,15253756,1/21/2020,8
298,202519176,1/21/2020,8
299,14823916,1/21/2020,8
300,15078895,1/22/2020,1
301,15255511,1/22/2020,1
302,15256522,1/22/2020,1
303,15257521,1/22/2020,1
304,202478957,1/22/2020,1
305,202521374,1/22/2020,1
306,15257522,1/22/2020,2
307,202513957,1/22/2020,5
308,202514012,1/22/2020,5
309,202522525,1/22/2020,8
310,202518311,1/22/2020,10
311,15257332,1/23/2020,1
312,202522425,1/23/2020,1
313,14983834,1/23/2020,1
314,202522860,1/23/2020,2
315,202522192,1/23/2020,2
316,202485821,1/23/2020,2
317,202485813,1/23/2020,2
318,15259323,1/23/2020,3
319,202497789,1/23/2020,4
320,202522765,1/23/2020,6
321,202485982,1/23/2020,6
322,202522533,1/23/2020,7
323,202486052,1/23/2020,7
324,202523711,1/23/2020,9
325,202524840,1/24/2020,1
326,15259784,1/24/2020,1
327,202524752,1/24/2020,1
328,15227015,1/24/2020,2
329,15260012,1/24/2020,2
330,202524195,1/24/2020,2
331,202524952,1/24/2020,3
332,15261107,1/24/2020,8
333,15261110,1/24/2020,8
334,15107761,1/24/2020,8
335,202523301,1/27/2020,1
336,202526370,1/27/2020,1
337,15262191,1/27/2020,1
338,15262334,1/27/2020,1
339,202513529,1/27/2020,1
340,15262537,1/27/2020,2
341,202504506,1/27/2020,8
342,15255827,1/28/2020,1
343,15257178,1/28/2020,1
344,14817294,1/28/2020,2
345,15264042,1/28/2020,3
346,202526995,1/28/2020,3
347,202527298,1/28/2020,4
348,202527650,1/28/2020,4
349,20024057,1/28/2020,7
350,20024058,1/28/2020,7
351,15264395,1/28/2020,8
352,202526285,1/28/2020,11
353,15264510,1/28/2020,3
354,202528442,1/29/2020,1
355,15265357,1/29/2020,2
356,202528234,1/29/2020,4
357,202529062,1/29/2020,4
358,202529086,1/29/2020,6
359,202520581,1/30/2020,1
360,202529605,1/30/2020,1
361,15267184,1/30/2020,2
362,15267071,1/30/2020,8
363,15267503,1/30/2020,1
364,202530394,1/31/2020,2
365,202512375,1/31/2020,2
366,202512416,1/31/2020,2
367,202530977,1/31/2020,3
368,20024067,1/31/2020,1
369,202530991,1/31/2020,8
370,15268742,2/4/2020,1
371,15272113,2/4/2020,1
372,202533358,2/4/2020,1
373,202532592,2/4/2020,3
374,202524942,2/4/2020,5
375,202524931,2/4/2020,5
376,15271995,2/4/2020,6
377,15272116,2/4/2020,7
378,202486063,2/4/2020,7
379,15272016,2/4/2020,19
380,202534773,2/5/2020,1
381,15272786,2/5/2020,3
382,202534967,2/5/2020,4
383,202533291,2/5/2020,6
384,202531764,2/5/2020,6
385,202528915,2/5/2020,8
386,202533277,2/5/2020,8
387,202533834,2/5/2020,32
388,15275211,2/6/2020,1
389,15275212,2/6/2020,1
390,202536052,2/6/2020,3
391,202535238,2/6/2020,4
392,202532726,2/6/2020,5
393,202535458,2/6/2020,7
394,202536350,2/6/2020,8
395,15276697,2/7/2020,1
396,202535464,2/7/2020,1
397,202535137,2/7/2020,1
398,202497879,2/7/2020,2
399,202535032,2/7/2020,3
